Calle y Numero,Colonia,Municipio/Ciudad,Estado,CP,,,,,
AV 3 ESQUINA CALLE 2,Las Lajas,Tuxtla Gutierrez,Chiapas,29017,,,,,
GUERRERO ESC MURO,Las Lilas,Tijuana,Baja California,22105,,,,,
AV. 20 DE NOVIEMBRE NO 1225,Las Magdalenas,Mexicali,Baja California,21135,,,,,
INDEPENDENCIA 1683,Las Palmeras,Mexicali,Baja California,21135,,,,,
AV. 20 DE NOVIEMBRE NO.1041,Las Plazas,Monterrey,Nuevo Leon,64102,,,,,
LAZARO CARDENAS NO.195,Las Salinas,Azcapotzalco,Distrito Federal,2360,,,,,
AV. 5 DE MAYO NO. 357,Las Torres,Monterrey,Nuevo Leon,64103,,,,,
AV. INDEPENDENCIA NO. 427,Las Trancas,Azcapotzalco,Distrito Federal,2450,,,,,
INDEPENDENCIA NO. 427,Las Vencedoras,Chihuahua,Chihuahua,31054,,,,,
CARR. A OJITALN NO 951-A,Lealtad I,Chihuahua,Chihuahua,31060,,,,,
AV. 5 DE MAYO NO 1189,Leyes de Reforma,Juarez,Chihuahua,32090,,,,,
BLVD. BENITO JUAREZ NO 439 B,Libertad,Azcapotzalco,Distrito Federal,2050,,,,,
AV. 20 DE NOVIEMBRE No. 1950,Libertad,Mexicali,Baja California,21030,,,,,
AV. INDEPENDENCIA NO. 395,Linda Vista,Tabasco,Zacatecas,99630,,,,,
BENITO JUAREZ NO 568,Linda Vista,Tijuana,Baja California,22054,,,,,
AV.INDEPENDENCIA NO. 246,Linda Vista Shanka,Tuxtla Gutierrez,Chiapas,29016,,,,,
FRANCISCO I. MADERO NO. 182,Linss,Chihuahua,Chihuahua,31020,,,,,
AV. JESUS CARRANZA NO.73,Loma Alta,Chihuahua,Chihuahua,31054,,,,,
AV. 5 DE MAYO NO. 1230-B,Loma de Rodriguera,Culiacan,Sinaloa,80019,,,,,
AV. INDEPENDENCIA No.528,Loma Real,Tuxtla Gutierrez,Chiapas,29014,,,,,
AV. JESUS CARRANZA NO.765,Lomas,Monterrey,Nuevo Leon,64030,,,,,
AV. INDEPENDENCIA NO. 47,Lomas de Tamazula,Culiacan,Sinaloa,80014,,,,,
AV. INDEPENDENCIA NO. 701,Lomas Del Pedregal,Culiacan,Sinaloa,80016,,,,,
AV.INDEPENDENCIA NO 623,Lomas del Poleo,Juarez,Chihuahua,32107,,,,,
CALLE MORELOS NO.72,Lomas del Sol,Culiacan,Sinaloa,80016,,,,,
AV. INDEPENDENCIA NO. 666,Lomas del Valle,Tuxtla Gutierrez,Chiapas,29010,,,,,
CALLE ITURBIDE NO. 52,Los Alamitos,Culiacan,Sinaloa,80018,,,,,
AV. REFORMA NO.587,Los Angeles,Culiacan,Sinaloa,80014,,,,,
AV. INDEPENDENCIA NO. 1029,Los Arcos,Mexicali,Baja California,21079,,,,,
CALLE MATAMOROS NO. 78,Los Capulines III,Tuxtla Gutierrez,Chiapas,29017,,,,,
CALLE MATAMOROS NO. 11,Los Ciruelos,Culiacan,Sinaloa,80019,,,,,
AV. INDEPENDENCIA NO. 377,Los Faisanes,Mexicali,Baja California,21135,,,,,
AV. 20 DE NOVIEMBRE NO.772,Los Frailes,Toluca,Mexico,50020,,,,,
AV. INDEPENDENCIA NO. 374,Los Girasoles,Toluca,Mexico,50010,,,,,
AV. INDEPENDENCIA NO. 727,Los Girasoles I,Toluca,Mexico,50010,,,,,
20 DE NOVIEMBRE NO. 1858,Los Girasoles II,Toluca,Mexico,50010,,,,,
PROLONG.INDEPENDENCIA NO.468-B,Los Girasoles III,Toluca,Mexico,50010,,,,,
CARR.OJITLAN NO.43,Los Girasoles IV,Toluca,Mexico,50010,,,,,
CALLE GUERRERO ESQ. MURO BLVD.,Los Huertos,Culiacan,Sinaloa,80019,,,,,
AV 5 DE MAYO NO. 1006,Los Manguitos,Tuxtla Gutierrez,Chiapas,29010,,,,,
MATAMOROS 127,Los Mezcales,Culiacan,Sinaloa,80019,,,,,
AV. INDEPENDENCIA NO. 21,Los Milagros,Mexicali,Baja California,21138,,,,,
AV. INDEPENDENCIA 666,Los Olivos,Mexicali,Baja California,21135,,,,,
BLVD.BENITO JUAREZ NO. 42-C,Los Oyameles,Azcapotzalco,Distrito Federal,2100,,,,,
DOMICILIO CONOCIDO S/N.,Los Reyes,Azcapotzalco,Distrito Federal,2010,,,,,
DOMICILIO CONOCIDO KM.21,Los Santos,Tijuana,Baja California,22104,,,,,
AV. INDEPENDENCIA NO. 568,Lucerna,Mexicali,Baja California,21137,,,,,
11 PONIENTE S/N.,Madera 65,Chihuahua,Chihuahua,31060,,,,,
JESUS CARRANZA NO. 139,Madero (Cacho),Tijuana,Baja California,22040,,,,,
AV. 5 DE MAYO NO. 1259,Madero Sur,Tijuana,Baja California,22046,,,,,
AV. 5 DE MAYO 1281,Magisterial,Tabasco,Zacatecas,99630,,,,,
AV. 20 DE NOVIEMBRE NO.1636,Magisterio 2000,Tuxtla Gutierrez,Chiapas,29010,,,,,
AV. MANCILLA ESQ. ALDAMA S/N.,Maralago,Culiacan,Sinaloa,80014,,,,,
INDEPENDENCIA NO. 241,Maria Luisa,Monterrey,Nuevo Leon,64040,,,,,
KM.2 CARR.FEDERAL TUX-OAXACA.,Maya,Tuxtla Gutierrez,Chiapas,29010,,,,,
KM. 13 CARR. MIGUEL ALEMÝN,Mayos,Mexicali,Baja California,21137,,,,,
AV. INDEPENDENCIA NO. 643 (425),Melchor Ocampo,Chihuahua,Chihuahua,31050,,,,,
C. ZARAGOZA NO. 329,Mexicaltzingo,Guadalajara,Jalisco,44180,,,,,
C. MARINA HERNANDEZ N. 5,Mezquitan,Guadalajara,Jalisco,44260,,,,,
AV. INDEPENDENCIA N0.405,Mezquitan Country,Guadalajara,Jalisco,44260,,,,,
AV. INDEPENDENCIA NO. 405,Miguel Galindo,Guadalajara,Jalisco,44260,,,,,
INDEPENDENCIA 824,Miguel Hidalgo,Azcapotzalco,Distrito Federal,2450,,,,,
AV INDEPENDENCIA NO 1189,Miraflores,Guadalajara,Jalisco,44270,,,,,
PRIMERO DE MAYO NO 48 ALTOS,Mirasol,Monterrey,Nuevo Leon,64102,,,,,
CALLE ALDAMA NO 64,Misol-ha,Tuxtla Gutierrez,Chiapas,29010,,,,,
PONCIANO ARRIAGA NO 45,Mitras Sur,Monterrey,Nuevo Leon,64020,,,,,
AV. INDEPENDENCIA NO 1683,Moderna,Guadalajara,Jalisco,44190,,,,,
C 1O DE MAYO NO 4,Monasterios,Tabasco,Zacatecas,99630,,,,,
DANIEL SOTO NO 354,Monte Alto,Azcapotzalco,Distrito Federal,2640,,,,,
AV. INDEPENDENCIA NO 117,Monterrey,Juarez,Chihuahua,32070,,,,,
AV. JESUS CARRANZA NO 1651 ALTOS,Monterrey,Tijuana,Baja California,22046,,,,,
MARIANO ARISTA NO 454,Monterrey Centro,Monterrey,Nuevo Leon,64000,,,,,
BOULEVARD BENITO JUAREZ ESQ. INDEPENDENCIA,Montesierra,Culiacan,Sinaloa,80017,,,,,
INDEPENDENCIA NO 124,Monumental,Guadalajara,Jalisco,44320,,,,,
AV. INDEPENDENCIA NO. 608,Monumento,Juarez,Chihuahua,32020,,,,,
INDEPENDENCIA No 1655,Morelos,Juarez,Chiapas,29510,,,,,
AV. 5 DE MAYO NO 1850,Morelos,Tijuana,Baja California,22056,,,,,
AV. 5 DE MAYO NO 1014,Morelos,Tuxtla Gutierrez,Chiapas,29010,,,,,
AV. 5 DE MAYO No. 1763,Moreno,Tijuana,Baja California,22105,,,,,
CALLE OCAMPO NO.,Nacozari,Mexicali,Baja California,21030,,,,,
AV. 20 DE NOVIEMBRE ESZ SANTOS,Natalia Venegas,Tuxtla Gutierrez,Chiapas,29017,,,,,
AV. 20 DE NOVIEMBRE ESQ. SANTOS DEGOLLADO,Neidhart,Tijuana,Baja California,22020,,,,,
AV. INDEPENDENCIA N0.691,Nextengo,Azcapotzalco,Distrito Federal,2070,,,,,
NICOLAS BRAVO NO 1270,Nueva,Mexicali,Baja California,21100,,,,,
AV. 20 DE NOVIEMBRE ESQ. MATAMOROS,Nueva Delicias,Tuxtla Gutierrez,Chiapas,29010,,,,,
MATAMOROS NO. 325,Nueva El Rosario,Azcapotzalco,Distrito Federal,2128,,,,,
AV. INDEPENDENCIA NO. 1001,Nueva Esperanza,Mexicali,Baja California,21050,,,,,
PLAN DE AYALA S/N.,Nueva Estrella,Tuxtla Gutierrez,Chiapas,29010,,,,,
MATAMOROS NO 360,Nueva Galaxia,Culiacan,Sinaloa,80014,,,,,
AV. INDEPENDENCIA NO 1247,Nueva Reforma,Tuxtla Gutierrez,Chiapas,29010,,,,,
AV. 5 DE MAYO NO 1911,Nuevo Mundo,Juarez,Chiapas,29518,,,,,
AV. LIBERTAD NO 387 ESQ. MORELOS,Nuevo Progreso,Juarez,Chiapas,29510,,,,,
AV. 5 DE MAYO NO. 1400,Nuevo Sur,Guadalajara,Jalisco,44240,,,,,
MIGUEL HIDALGO NO 409,Obispado,Monterrey,Nuevo Leon,64060,,,,,
AV.INDEPENDENCIA NO 672,Obrera,Juarez,Chihuahua,32050,,,,,
CALLE SEBASTIAN ORTIZ NO 690,Obrera,Monterrey,Nuevo Leon,64010,,,,,
PROL. AV 5 DE MAYO NO 109,Obrera Centro,Guadalajara,Jalisco,44140,,,,,
AV. INDEPENDENCIA NO 531,Obrero Campesino,Culiacan,Sinaloa,80013,,,,,
LIBERTAD 1024,Observatorio,Guadalajara,Jalisco,44266,,,,,
KM. 2 CARRETERA TUXTEPEC OAXACA,Orizaba,Mexicali,Baja California,21130,,,,,
AVENIDA 3 CALLE 2,Pablo Amaya Norte,Chihuahua,Chihuahua,31050,,,,,
BLVD. BENITO JUAREZ NO 409,Pablo Amaya Sur,Chihuahua,Chihuahua,31050,,,,,
AV. INDEPENDENCIA NO 1125,Pacifico,Chihuahua,Chihuahua,31030,,,,,
AV. INDEPENDENCIA NO 171,Palestina,Azcapotzalco,Distrito Federal,2070,,,,,
AV. 5 DE MAYO NO.801,Palestina,Juarez,Chiapas,29510,,,,,
AV. INDEPENDENCIA NO.166,Palmar de Orizaba,Mexicali,Baja California,21135,,,,,
AV. INDEPENDENCIA NO.725,Pantaco,Azcapotzalco,Distrito Federal,2510,,,,,
CENTRO PINERO,Parque Rotario,Chihuahua,Chihuahua,31000,,,,,
AV. INDEPENDENCIA NO 1950,Partido Romero,Juarez,Chihuahua,32030,,,,,
ADOLFO LOPEZ MATEOS NO 25,Paseo Alameda,Culiacan,Sinaloa,80019,,,,,
HERMENEGILDO GALEANA S/N,Pasteros,Azcapotzalco,Distrito Federal,2150,,,,,
AV. 5 DE MAYO NO 954,Periodistas,Monterrey,Nuevo Leon,64103,,,,,
INT. PASAJE COMERCIAL LOCAL No. 4 ,Petrolera,Azcapotzalco,Distrito Federal,2480,,,,,
INDEPENDENCIA NO 6,Pistimbak,Tuxtla Gutierrez,Chiapas,29018,,,,,
MATAMOROS 40,Pitolaca,Azcapotzalco,Distrito Federal,2260,,,,,
INDEPENDENCIA 432,Planetario,Tijuana,Baja California,22034,,,,,
AV. INDEPENDENCIA NO.932,Pomarrosa,Tuxtla Gutierrez,Chiapas,29014,,,,,
BLVD.BENITO JUAREZ NO.786,Popular,Juarez,Chihuahua,32110,,,,,
AV. LIBERTAD NO 1294,Postal,Juarez,Chihuahua,32140,,,,,
AV. 20 DE NOVIEMBRE NO. 1371,Potinaspak,Tuxtla Gutierrez,Chiapas,29018,,,,,
KM.13 CARRET.CD. ALEMAN-TUXTEPEC,Prados del Rosario,Azcapotzalco,Distrito Federal,2410,,,,,
BENITO JUAREZ 25,Presidente Madero,Azcapotzalco,Distrito Federal,2430,,,,,
AV. 1O. DE MAYO NO. 102,Presita Magueyosa,Juarez,Coahuila de Zaragoza,25402,,,,,
AV. 1O. DE MAYO NO. 108,Privada Catalana,Tijuana,Baja California,22025,,,,,
AV. 20 DE NOVIEMBRE NO. 1210,Privadas de Lincoln,Monterrey,Nuevo Leon,64100,,,,,
BENITO JUAREZ NO 25,Pro-Hogar,Azcapotzalco,Distrito Federal,2600,,,,,
MATAMOROS 29,Providencia,Azcapotzalco,Distrito Federal,2440,,,,,
AV. LIBERTAD NO. 1961,Pueblo Bonito,Culiacan,Sinaloa,80020,,,,,
CALLE MATAMOROS NO. 236,Pueblo Bonito,Tijuana,Baja California,22034,,,,,
AV. INDEPENDENCIA 1019,Pueblo Nuevo,Mexicali,Baja California,21120,,,,,
AV. 5 DE MAYO NO. 1690,Puerta de Hierro,Tijuana,Baja California,22024,,,,,
ALDAMA 50,Puerta del Sol,Chihuahua,Chihuahua,31060,,,,,
MATAMOROS 123,Puerto de Anapra,Juarez,Chihuahua,32107,,,,,
CALLE MATAMOROS NO. 123,Puerto la Paz,Juarez,Chihuahua,32159,,,,,
AV. INDEPENDENCIA NO.864,Rachali,Chihuahua,Chihuahua,31060,,,,,
AV. 5 DE MAYO NO.1987,Rancho Anapra,Juarez,Chihuahua,32107,,,,,
AV. INDEPENDENCIA NO. 1370-B,Rancho el Grande,Tijuana,Baja California,22025,,,,,
AV. 20 DE NOVIEMBRE NO.1022,Rancho la Mora,Toluca,Mexico,50020,,,,,
LIBERTAD ESQ. MORELOS 834,Reforma,Chihuahua,Chihuahua,31034,,,,,
BLVD. BENITO JUAREZ NO. 197-A,Residencial Zarco,Chihuahua,Chihuahua,31020,,,,,
AV. 5 DE MAYO NO. 954,Reynosa Tamaulipas,Azcapotzalco,Distrito Federal,2200,,,,,
CALLE MATAMOROS NO. 31,Rinconada el Olivar,Azcapotzalco,Distrito Federal,2400,,,,,
OAXACA S/N,Roma,Tijuana,Baja California,22054,,,,,
AV. SEBASTIAN ORTIZ NO.229,Rosario,Chihuahua,Chihuahua,31030,,,,,
AV. 5 DE MAYO ESQ. ALDAMA No. 991,Rosario Poniente,Tuxtla Gutierrez,Chiapas,29014,,,,,
CALLE LAZARO CARDENAS S/N.,Rosario Uzarraga,Culiacan,Sinaloa,80014,,,,,
AV. 20 DE NOVIEMBRE NO.2244,Rosendo Salazar,Azcapotzalco,Distrito Federal,2409,,,,,
CALLE JUAREZ NO. 855,Rotarismo,Culiacan,Sinaloa,80019,,,,,
AV. 5 DE MAYO NO. 631,Ruben Jaramillo,Culiacan,Sinaloa,80015,,,,,
AV. 5 DE MAYO ESQ. MATAMOROS NO 1070,Rubio,Chihuahua,Chihuahua,31020,,,,,
AV. INDEPENDENCIA NO.787,Sagrada Familia,Guadalajara,Jalisco,44200,,,,,
INDEPENDENCIA 807,San Agustin,Chihuahua,Chihuahua,31054,,,,,
AV. INDEPENDENCIA NO. 409,San Angelin,Toluca,Mexico,50010,,,,,
INDEPENDENCIA NO. 409,San Antonio,Guadalajara,Jalisco,44170,,,,,
CALLE MATAMOROS NO. 415,San Antonio,Guadalajara,Jalisco,44257,,,,,
AV. 5 DE MAYO NO. 2061 ESQ. BLVD.BENITO JUAREZ,San Antonio,Toluca,Mexico,50018,,,,,
AV. JESUS CARRANZA NO. 812,San Antonio (P-37),Monterrey,Nuevo Leon,64103,,,,,
C. GUADALUPE VICTORIA N0.373,San Bernabe,Monterrey,Nuevo Leon,64100,,,,,
C. GUADALUPE VICTORIA NO 373,San Bernardo,Guadalajara,Jalisco,44260,,,,,
AV. JESUS CARRANZA ,San Borja,Juarez,Chihuahua,32020,,,,,
AV. INDEPENDENCIA ,San Clemente,Mexicali,Baja California,21138,,,,,
BLVD. BENITO JUAREZ ESQ. AV. INDEPENDENCIA,San David I (P- 33),Monterrey,Nuevo Leon,64103,,,,,
IGNACIO ZARAGOZA ,San Fernando,Chihuahua,Chihuahua,31060,,,,,
MIGUEL HIDALGO ,San Fernando,Tuxtla Gutierrez,Chiapas,29010,,,,,
BLVD. BENITO JUAREZ ,San Francisco,Tabasco,Zacatecas,99644,,,,,
AV. 20 DE NOVIEMBRE NO 1371,San Gabriel,Monterrey,Nuevo Leon,64103,,,,,
AV. 20 DE NOVIEMBRE ,San Isidro (P-108),Monterrey,Nuevo Leon,64103,,,,,
AV. 5 DE MAYO,San Jacinto,Mexicali,Baja California,21138,,,,,
CALLE PRINCIPAL S/N.,San Jacinto,Tuxtla Gutierrez,Chiapas,29000,,,,,
AV. INDEPENDENCIA  ANTS.998,San Jorge,Chihuahua,Chihuahua,31054,,,,,
CALLE SEBASTIAN ORTIZ ,San Juan,Chihuahua,Chihuahua,31054,,,,,
CARR. A OJITLAN ,San Juan de la Cruz,Toluca,Mexico,50010,,,,,
CALLE OCAMPO S/M.,San Juan Tlihuaca,Azcapotzalco,Distrito Federal,2400,,,,,
AV. INDENDENCIA ,San Juanito,Juarez,Chiapas,29510,,,,,
AV. 5 DE MAYO ,San Luis Obispo,Toluca,Mexico,50040,,,,,
ALDAMA ESQ. 20 DE NOVIEMBRE,San Marcos,Azcapotzalco,Distrito Federal,2020,,,,,
AV. MANCILLA ESQ. ALDAMA S/N,San Marcos,Mexicali,Baja California,21050,,,,,
C. ALDAMA ,San Marcos Oriente,Guadalajara,Jalisco,44330,,,,,
PROL. AV. 5 DE MAYO,San Mateo,Azcapotzalco,Distrito Federal,2490,,,,,
KM. 2 CARRETERA TUXTEPEC- VALLE NACIONAL,San Miguel,Chihuahua,Chihuahua,31060,,,,,
ARTEAGA ,San Miguel,Mexicali,Baja California,21137,,,,,
BLVD. BENITO JUAREZ ESQ. AV. 5 DE MAYO ,San Pablo Xalpa,Azcapotzalco,Distrito Federal,2110,,,,,
MATAMOROS ,San Pedro,Chihuahua,Chihuahua,31000,,,,,
INDEPENDENCIA,San Rafael,Azcapotzalco,Distrito Federal,2010,,,,,
ALDAMA ,San Rafael,Chihuahua,Chihuahua,31060,,,,,
,San Rafael,Toluca,Mexico,50019,,,,,
,Santa Catarina,Azcapotzalco,Distrito Federal,2250,,,,,
,Santa Clara,Mexicali,Baja California,21110,,,,,
,Santa Clara,Tuxtla Gutierrez,Chiapas,29014,,,,,
,Santa Cruz,Juarez,Chiapas,29518,,,,,
,Santa Cruz,Tijuana,Baja California,22105,,,,,
,Santa Elena Estadio,Guadalajara,Jalisco,44230,,,,,
,Santa Rita,Chihuahua,Chihuahua,31020,,,,,
,Santa Rita,Juarez,Coahuila de Zaragoza,25419,,,,,
,Santa Rosa,Chihuahua,Chihuahua,31050,,,,,
,Santiago,Tabasco,Zacatecas,99650,,,,,
,Santiago Miltepec,Toluca,Mexico,50020,,,,,
,Santo Domingo,Azcapotzalco,Distrito Federal,2160,,,,,
,Santo Domingo,Tuxtla Gutierrez,Chiapas,29000,,,,,
,Sara Lugo,Juarez,Chihuahua,32108,,,,,
,Sector Naval,Azcapotzalco,Distrito Federal,2080,,,,,
,Sector Popular,Toluca,Mexico,50040,,,,,
,Sector Salud,Chihuahua,Chihuahua,31020,,,,,
,Secundaria,Tabasco,Zacatecas,99630,,,,,
,Siglo XXI,Juarez,Chihuahua,32153,,,,,
,Sindicalista,Mexicali,Baja California,21135,,,,,
,Sol del Amanecer,Mexicali,Baja California,21135,,,,,
,Solidaridad,Culiacan,Sinaloa,80015,,,,,
,Tabasco,Tabasco,Zacatecas,99630,,,,,
,Tecpate Abajo,Juarez,Chiapas,29519,,,,,
,Tecpate Arriba,Juarez,Chiapas,29519,,,,,
,Telegrafistas,Juarez,Chihuahua,32140,,,,,
,Tenanguillo,Tabasco,Zacatecas,99630,,,,,
,Tezozomoc,Azcapotzalco,Distrito Federal,2459,,,,,
,Ticoman,Azcapotzalco,Distrito Federal,2240,,,,,
,Tierra Nueva,Azcapotzalco,Distrito Federal,2130,,,,,
,Tlacopa,Toluca,Mexico,50010,,,,,
,Toribio Ortega,Chihuahua,Chihuahua,31060,,,,,
,Unidad Aldama,Monterrey,Nuevo Leon,64040,,,,,
,Unidad Cuitlahuac,Azcapotzalco,Distrito Federal,2500,,,,,
,Unidad Proletaria,Chihuahua,Chihuahua,31054,,,,,
,Universidad,Guadalajara,Jalisco,44214,,,,,
,Universidad,Toluca,Mexico,50010,,,,,
,Universitaria,Culiacan,Sinaloa,80013,,,,,
,Urbi Villa Bonita,Monterrey,Nuevo Leon,64102,,,,,
,Urbi Villa Colonial,Monterrey,Nuevo Leon,64103,,,,,
,Urbi Villa del Rey,Monterrey,Nuevo Leon,64102,,,,,
,Vallarta Poniente,Guadalajara,Jalisco,44110,,,,,
,Valle del Agua,Culiacan,Sinaloa,80014,,,,,
,Valle Dorado,Tuxtla Gutierrez,Chiapas,29014,,,,,
,Valle Escondido,Chihuahua,Chihuahua,31054,,,,,
,Venustiano Carranza,Monterrey,Nuevo Leon,64103,,,,,
,Vida Mejor,Juarez,Chiapas,29510,,,,,
,Villa del Campo,Mexicali,Baja California,21137,,,,,
,Villa Del Sol,Culiacan,Sinaloa,80015,,,,,
,Villa Dolores,Chihuahua,Chihuahua,31054,,,,,
,Villa Lomas,Tijuana,Baja California,22034,,,,,
,Villa San Marcos,Tuxtla Gutierrez,Chiapas,29010,,,,,
,Villa Universidad,Culiacan,Sinaloa,80010,,,,,
,Villareal,Tuxtla Gutierrez,Chiapas,29014,,,,,
,Villas Coahuila,Mexicali,Baja California,21137,,,,,
,Villas de San Juan,Guadalajara,Jalisco,44299,,,,,
,Villas del Carmen,Monterrey,Nuevo Leon,64103,,,,,
,Villas Del Estadio,Guadalajara,Jalisco,44240,,,,,
,Villas del Sur,Chihuahua,Chihuahua,31054,,,,,
,Villas Galicia,Mexicali,Baja California,21137,,,,,
,Vista Dorada,Tijuana,Baja California,22034,,,,,
,Wake,Azcapotzalco,Distrito Federal,2050,,,,,
,Yuquis,Tuxtla Gutierrez,Chiapas,29016,,,,,
,Zacatecas,Juarez,Chihuahua,32130,,,,,
,Zacatecas,Mexicali,Baja California,21070,,,,,
,Zacatecas,Mexicali,Baja California,21090,,,,,
,Zarco,Chihuahua,Chihuahua,31020,,,,,
,Zona Centro,Chihuahua,Chihuahua,31000,,,,,
,Zona Centro,Tijuana,Baja California,22000,,,,,
,Zona Dorada,Culiacan,Sinaloa,80014,,,,,
,Zona Dorada II,Culiacan,Sinaloa,80014,,,,,
,Zona Este,Tijuana,Baja California,22000,,,,,
,Zona Industrial,Mexicali,Baja California,21010,,,,,
,Zona Industrial,Mexicali,Baja California,21070,,,,,
,Zona Industrial,Mexicali,Baja California,21090,,,,,
,Zona Norte,Tijuana,Baja California,22000,,,,,
,Zopilocalco Norte,Toluca,Mexico,50050,,,,,
,Zopilocalco Sur,Toluca,Mexico,50050,,,,,
